City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,olonkinbyen,70.9221,-8.7187,1.49,86,100,10.84,SJ,1704663104
1,haiku-pauwela,20.9219,-156.3051,26.2,70,20,3.6,US,1704663105
2,topolobampo,25.6,-109.05,20.63,48,0,4.69,MX,1704663105
3,antofagasta,-23.65,-70.4,21.6,72,17,5.4,CL,1704662709
4,port-aux-francais,-49.35,70.2167,7.41,94,98,14.75,TF,1704663106
5,albany,42.6001,-73.9662,-0.26,88,100,1.15,US,1704662726
6,blackmans bay,-43.0167,147.3167,14.07,95,100,0.45,AU,1704663106
7,melfi,40.9965,15.6514,8.61,87,100,2.1,IT,1704663107
8,ushuaia,-54.8,-68.3,9.81,50,40,8.75,AR,1704663107
9,vorgashor,67.5833,63.95,-21.52,99,100,4.37,RU,1704663107
10,adamstown,-25.066,-130.1015,23.08,71,100,6.34,PN,1704663108
11,huanggang,23.677,116.9996,14.94,81,16,3.62,CN,1704663108
12,hasaki,35.7333,140.8333,-0.78,52,4,9.96,JP,1704663108
13,ilulissat,69.2167,-51.1,-6.99,68,75,8.75,GL,1704663109
14,derzhavinsk,51.1,66.3167,-0.89,98,100,8.65,KZ,1704663109
15,aasiaat,68.7098,-52.8699,-10.41,75,100,6.15,GL,1704663109
16,afaahiti,-17.75,-149.2833,28.93,80,49,4.17,PF,1704663110
17,yellowknife,62.456,-114.3525,-33.17,77,75,1.03,CA,1704663100
18,puerto natales,-51.7236,-72.4875,13.25,41,75,9.77,CL,1704663110
19,akureyri,65.6835,-18.0878,6.96,65,0,6.17,IS,1704663111
20,kutum,14.2,24.6667,14.84,25,4,3.39,SD,1704663111
21,grytviken,-54.2811,-36.5092,5.29,74,35,1.64,GS,1704663111
22,waitangi,-43.9535,-176.5597,16.01,71,61,1.34,NZ,1704663112
23,saint-paul,-21.0096,55.2707,26.05,85,59,3.82,RE,1704663112
24,weno,7.4515,151.8468,28.29,66,92,9.58,FM,1704663112
25,san julian,21.0167,-102.1667,17.87,41,100,7.23,MX,1704663113
26,marsh harbour,26.5412,-77.0636,22.43,75,100,6.98,BS,1704663113
27,whitehorse,60.7161,-135.0538,-16.06,77,75,7.72,CA,1704663113
28,thompson,55.7435,-97.8558,-23.91,77,20,3.6,CA,1704663114
29,bethel,41.3712,-73.414,1.12,82,99,0.45,US,1704663114
30,ancud,-41.8697,-73.8203,14.91,78,48,4.8,CL,1704663114
31,taltal,-25.4,-70.4833,22.68,67,15,3.76,CL,1704663021
32,mosty,53.4122,24.5387,-12.92,86,100,5.14,BY,1704663115
33,portland,45.5234,-122.6762,8.63,90,75,2.57,US,1704662825
34,valparaiso,-33.0393,-71.6273,27.8,57,0,7.72,CL,1704663116
35,kingston,17.997,-76.7936,29.53,76,20,11.32,JM,1704662596
36,port alfred,-33.5906,26.891,18.99,93,100,0.5,ZA,1704663116
37,maracaju,-21.6144,-55.1683,32.3,40,72,3.06,BR,1704663117
38,hithadhoo,-0.6,73.0833,27.95,76,99,5.37,MV,1704663117
39,el sauzal de rodriguez,31.9,-116.6833,14.12,57,43,9.97,MX,1704663117
40,wailua homesteads,22.0669,-159.378,26.53,75,75,5.14,US,1704663118
41,veinticinco de mayo,-35.4323,-60.1727,27.3,56,66,3.09,AR,1704663118
42,moyynkum,44.2914,72.9469,6.97,78,100,9.21,KZ,1704663118
43,edinburgh of the seven seas,-37.0676,-12.3116,16.64,71,100,2.89,SH,1704663119
44,udachny,66.4167,112.4,-24.64,95,100,5.8,RU,1704663119
45,papatowai,-46.5619,169.4708,17.08,63,100,1.88,NZ,1704663120
46,kavaratti,10.5669,72.642,27.85,76,85,3.89,IN,1704663120
47,cherepovets,59.1333,37.9,-26.1,76,40,2.0,RU,1704663121
48,el porvenir,13.7617,-87.3458,30.63,25,0,3.85,HN,1704663121
49,luderitz,-26.6481,15.1594,18.91,73,75,11.68,NA,1704663122
50,fiambala,-27.6871,-67.6149,29.88,43,0,6.12,AR,1704663122
51,kruisfontein,-34.0033,24.7314,17.71,81,100,2.86,ZA,1704663123
52,hammerfest,70.6634,23.6821,-1.75,80,75,4.12,NO,1704663123
53,ust'-kulom,61.6864,53.6902,-23.29,98,100,2.72,RU,1704663124
54,tsiombe,-25.3,45.4833,24.89,91,95,2.87,MG,1704663124
55,kingsville,27.5159,-97.8561,22.23,58,75,8.23,US,1704663125
56,port douglas,-16.4833,145.4667,27.88,76,100,1.91,AU,1704663126
57,inda silase,14.1031,38.2829,14.86,48,3,1.25,ET,1704663126
58,hanceville,34.0607,-86.7675,12.16,54,21,2.12,US,1704663127
59,freetown,8.484,-13.2299,27.84,74,40,2.57,SL,1704663127
60,badger,64.8,-147.5333,-10.0,78,0,2.06,US,1704663128
61,muli,2.9167,73.5667,27.78,75,93,4.24,MV,1704663128
62,tiksi,71.6872,128.8694,-33.64,96,48,3.24,RU,1704663129
63,cockburn town,21.4612,-71.1419,25.8,77,4,4.94,TC,1704663129
64,ribeira grande,38.5167,-28.7,16.22,77,40,8.23,PT,1704662896
65,el alto,-4.2714,-81.2147,25.81,74,99,8.63,PE,1704663130
66,iqaluit,63.7506,-68.5145,-26.15,70,20,2.06,CA,1704663014
67,vadso,70.0744,29.7487,-2.51,86,100,13.38,NO,1704663131
68,kolonia,50.9333,6.95,0.54,69,75,4.63,DE,1704663131
69,uturoa,-16.7333,-151.4333,27.28,76,65,4.61,PF,1704663132
70,usinsk,65.9939,57.5281,-23.85,99,100,1.79,RU,1704663133
